time,IMSI,bw requested,real bandwith received,slice
2025-07-12 18:42:46.936389+00:00,999991000000087,8,7.78,UPF500
2025-07-12 18:42:57.937381+00:00,999991000000098,7,13.18,UPF250
2025-07-12 18:43:24.849701+00:00,999991000000087,9,16.07,UPF500
2025-07-12 18:43:32.145188+00:00,999991000000087,8,5.85,UPF500
2025-07-12 18:43:45.543754+00:00,999991000000088,6,12.17,UPF250
2025-07-12 18:44:12.396588+00:00,999991000000092,8,10.81,UPF250
2025-07-12 18:44:20.278497+00:00,999991000000099,5,9.52,UPF500
2025-07-12 18:44:26.505910+00:00,999991000000096,6,8.97,UPF250
2025-07-12 18:44:37.059629+00:00,999991000000090,9,8.96,UPF250
2025-07-12 18:44:44.372826+00:00,999991000000087,7,9.28,UPF500
2025-07-12 18:45:08.598760+00:00,999991000000095,5,17.80,UPF500
